编号,游戏名称,中文名,中文名_clean,GBA.ZH
GBA#712,Disney Sports - Football (USA),迪斯尼全明星体育系列-足球 （美版）,迪斯尼全明星体育系列-足球,
GBA#713,"Disney Sports - Motocross (Europe) (En,Fr,De,Es,It)","迪斯尼全明星体育系列-摩托车 （欧版） (En,Fr,De,Es,It)",迪斯尼全明星体育系列-摩托车,
GBA#714,Disney Sports - Motocross (Japan),迪斯尼全明星体育系列-摩托车 （日版）,迪斯尼全明星体育系列-摩托车,
GBA#715,Disney Sports - Motocross (USA),迪斯尼全明星体育系列-摩托车 （美版）,迪斯尼全明星体育系列-摩托车,
GBA#716,"Disney Sports - Skateboarding (Europe) (En,Fr,De,Es,It)","迪斯尼全明星体育系列-滑板 （欧版） (En,Fr,De,Es,It)",迪斯尼全明星体育系列-滑板,
GBA#717,Disney Sports - Skateboarding (Japan),迪斯尼全明星体育系列-滑板 （日版）,迪斯尼全明星体育系列-滑板,
GBA#718,Disney Sports - Skateboarding (USA),迪斯尼全明星体育系列-滑板 （美版）,迪斯尼全明星体育系列-滑板,
GBA#719,"Disney Sports - Snowboarding (Europe) (En,Fr,De,Es,It)","迪斯尼全明星体育系列-滑雪板 （欧版） (En,Fr,De,Es,It)",迪斯尼全明星体育系列-滑雪板,
GBA#720,Disney Sports - Snowboarding (Japan),迪斯尼全明星体育系列-滑雪板 （日版）,迪斯尼全明星体育系列-滑雪板,
GBA#721,Disney Sports - Snowboarding (USA),迪斯尼全明星体育系列-滑雪板 （美版）,迪斯尼全明星体育系列-滑雪板,
GBA#722,Disney Sports - Soccer (Japan),迪斯尼全明星体育系列-足球 （日版）,迪斯尼全明星体育系列-足球,
GBA#723,Disney Sports - Soccer (USA),迪斯尼全明星体育系列-足球 （美版）,迪斯尼全明星体育系列-足球,
GBA#724,"Disney's Game + TV Episode - Lizzie McGuire 2 - Lizzie Diaries (USA) (En,Fr)","迪斯尼公主-皇家冒险 （美版） (En,Fr)",迪斯尼公主-皇家冒险,
GBA#725,"Disney's Party (USA, Europe) (En,Fr,De,Es,It)","迪斯尼欢乐聚会 （美版 欧版） (En,Fr,De,Es,It)",迪斯尼欢乐聚会,
GBA#726,Disneys Prinzessinnen (Germany),迪斯尼公主 （德国版）,迪斯尼公主,
GBA#727,"DK - King of Swing (Europe) (En,Fr,De,Es,It)","大金刚-摇摆之王 （欧版） (En,Fr,De,Es,It)",大金刚-摇摆之王,
GBA#728,DK - King of Swing (USA),大金刚-摇摆之王 （美版）,大金刚-摇摆之王,
GBA#729,DK - King of Swing (USA) (Demo) (Kiosk),大金刚-摇摆之王 （美版） （演示版） （商店演示版）,大金刚-摇摆之王,
GBA#730,Dogz (Europe),可爱小狗 （欧版）,可爱小狗,
GBA#731,"Dogz (Europe) (En,Fr,De,It)","可爱小狗 （欧版） (En,Fr,De,It)",可爱小狗,
GBA#732,Dogz (France),可爱小狗 （法国版）,可爱小狗,
GBA#733,Dogz (USA),可爱小狗 （美版）,可爱小狗,
GBA#734,Dogz - Fashion (Europe),俏皮宠物 （欧版）,俏皮宠物,
GBA#735,Dogz - Fashion (USA),俏皮宠物 （美版）,俏皮宠物,
GBA#736,Dogz 2 (Europe),宠物狗2 （欧版）,宠物狗2,
GBA#737,"Dogz 2 (Europe) (En,Fr,De,It)","宠物狗2 （欧版） (En,Fr,De,It)",宠物狗2,
GBA#738,Dogz 2 (USA),宠物狗2 （美版）,宠物狗2,
GBA#739,Dogz 2 (USA) (Rev 1),宠物狗2 （美版） （修正版 1）,宠物狗2,
GBA#740,Dokapon - Monster Hunter (USA),多卡邦怪物猎人 （美版）,多卡邦怪物猎人,
GBA#741,"Dokapon - Monster Hunter! (Europe) (En,Fr,De)","多卡邦怪物猎人 （欧版） (En,Fr,De)",多卡邦怪物猎人,
GBA#742,Dokapon Q - Monster Hunter! (Japan),多卡邦Q怪物猎人! （日版）,多卡邦Q怪物猎人!,
GBA#743,Dokidoki Cooking Series 1 - Komugi-chan no Happy Cake (Japan),烹饪系列1-快乐糕点 （日版）,烹饪系列1-快乐糕点,
GBA#744,Dokidoki Cooking Series 2 - Gourmet Kitchen - Suteki na Obentou (Japan),美食家的厨房 （日版）,美食家的厨房,
GBA#745,Dokodemo Taikyoku - Yakuman Advance (Japan),随身对局役满 （日版）,随身对局役满,
GBA#746,Dokodemo Taikyoku - Yakuman Advance (Japan) (Rev 1),随身对局役满 （日版） （修正版 1）,随身对局役满,
GBA#747,Domo-kun no Fushigi Television (Japan),多摩君之不可思议的冒险 （日版）,多摩君之不可思议的冒险,
GBA#748,"Donald Duck Advance (Europe) (En,Fr,De,Es,It)","唐老鸭冒险 （欧版） (En,Fr,De,Es,It)",唐老鸭冒险,
GBA#749,Donald Duck Advance (Japan),唐老鸭冒险 （日版）,唐老鸭冒险,
GBA#750,Donald Duck Advance (USA),唐老鸭冒险 （美版）,唐老鸭冒险,
GBA#751,Donchan Puzzle - Hanabi de Dohn! Advance (Japan),花火大会 （日版）,花火大会,
GBA#752,"Donkey Kong Country (Europe) (En,Fr,De,Es,It)","超级大金刚1 （欧版） (En,Fr,De,Es,It)",超级大金刚1,
GBA#753,Donkey Kong Country (USA),超级大金刚1 （美版）,超级大金刚1,
GBA#754,"Donkey Kong Country 2 (Europe) (En,Fr,De,Es,It)","超级大金刚2 （欧版） (En,Fr,De,Es,It)",超级大金刚2,
GBA#755,Donkey Kong Country 2 (USA),超级大金刚2 （美版）,超级大金刚2,
